question,url_m,link,url_b
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_07.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_08.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_09.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_10.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_01.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_02.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_03.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_04.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_05.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_06.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_07.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_08.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_09.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_03_10.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_01.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_02.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_03.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_04.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_05.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_06.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_04_07.png
